"order_ID";"ItemID"
1;1
2;2
3;3
4;4
5;5
6;6
7;7
8;8
9;9
10;10
11;11
12;12
13;13
14;14
15;15
16;16
17;17
18;18
19;19
20;20
1;21
2;22
3;23
4;24
7;24
8;24
9;24
10;24
11;24
12;24
13;24
14;24
15;24
16;24
5;25
6;26
7;27
8;28
9;29
10;30
11;31
12;32
13;33
17;33
18;33
19;33
20;33
14;34
15;35
16;36
17;37
1;38
18;38
19;39
20;40
1;41
2;41
3;41
4;41
5;41
6;41
2;42
3;43
4;44
5;45
6;46
7;47
8;48
9;49
10;50
1055;100
1001;101
1051;101
1053;101
1056;101
1002;102
1052;102
1003;103
1004;104
1054;104
1057;104
1005;105
1006;106
1007;107
1008;108
1058;108
1059;108
1009;109
1010;110
1060;110
1011;111
1012;112
1013;113
1014;114
1015;115
1016;116
1017;117
1018;118
1019;119
1020;120
1021;121
1022;122
1023;123
1024;124
1025;125
1026;126
1027;127
1028;128
1029;129
1030;130
1031;131
1032;132
1033;133
1034;134
1035;135
1036;136
1037;137
1038;138
1039;139
1040;140
1041;141
1042;142
1043;143
1044;144
1045;145
1046;146
1047;147
1048;148
1049;149
1050;150
2001;201
2001;202
2001;203
2002;203
2002;204
2002;205
2003;206
2003;207
2003;208
