"userID";"ItemID"
5;1
8;1
6;2
7;3
8;4
9;5
10;6
11;7
12;8
13;9
14;10
1;11
2;11
7;11
15;11
16;12
17;13
17;14
18;14
19;15
20;16
21;17
22;18
16;19
23;19
15;20
24;20
14;21
24;21
3;23
5;23
13;24
19;24
18;29
1;31
11;33
12;33
22;33
4;34
9;34
2;35
21;40
4;42
24;42
23;43
3;45
10;45
20;50
25;50
2001;201
2001;202
2002;203
2002;204
2003;205
6;206
2003;206
2004;207
2004;208
2005;209
2005;210
2006;211
2016;211
2006;212
2016;212
2007;213
2017;213
2007;214
2017;214
2008;215
2018;215
2008;216
2018;216
2009;217
2019;217
2009;218
2019;218
2010;219
2020;219
2010;220
2020;220
2011;221
2021;221
2011;222
2021;222
2012;223
2022;223
2012;224
2022;224
2013;225
2023;225
2013;226
2023;226
2014;227
2024;227
2014;228
2024;228
2015;229
2025;229
2015;230
2025;230
